============================================================
LIMELIGHT MODEL TRAINER
============================================================

Job ID: bd41a092
Spinning up 1 NVIDIA H100 GPU...

Steps: 20000, Batch size: 16, Platform: coral

STAGE 1/6: Downloading dataset...
  Downloading from Google Drive...
  Downloaded: 26.87 MB
  Extracting dataset...
  Archive contains 11 files
  Scanning for TFRecords and label map...
    Found label map: test/balls_label_map.pbtxt
    Found train record: train/balls.tfrecord
    Found label map: train/balls_label_map.pbtxt
    Found val record: valid/balls.tfrecord
    Found label map: valid/balls_label_map.pbtxt

STAGE 2/6: Loading pretrained model...
  Pretrained model ready

STAGE 3/6: Configuring training pipeline...
  Detected 1 classes: ['Fuels']

STAGE 4/6: Training model...
----------------------------------------
  Starting validation evaluation thread...
  Validation thread started (will evaluate at each checkpoint)
  Progress check #1: No loss data yet
  Progress check #2: No loss data yet
  Progress check #3: No loss data yet
  Progress check #4: No loss data yet
  Progress check #5: No loss data yet
  TensorBoard val tags: ['eval_side_by_side_0_0', 'eval_side_by_side_1_0', 'eval_side_by_side_2_0', 'eval_side_by_side_3_0', 'eval_side_by_side_4_0', 'eval_side_by_side_5_0', 'eval_side_by_side_6_0', 'eval_side_by_side_7_0', 'eval_side_by_side_8_0', 'eval_side_by_side_9_0']
  TensorBoard train tags: ['train_input_images', 'steps_per_sec', 'Loss/localization_loss', 'Loss/classification_loss', 'Loss/regularization_loss', 'Loss/total_loss', 'learning_rate']
  Step 4600/20000 - Train Loss: 0.0080 | Val: 0.0060
  Step 4625/20000 - Train Loss: 0.0117 | Val: 0.0060
  Step 4675/20000 - Train Loss: 0.0079 | Val: 0.0060
  Step 4700/20000 - Train Loss: 0.0397 | Val: 0.0060
  Step 4750/20000 - Train Loss: 0.0096 | Val: 0.0060
  Step 4800/20000 - Train Loss: 0.0068 | Val: 0.0060
  Step 4825/20000 - Train Loss: 0.0046 | Val: 0.0060
  Step 4875/20000 - Train Loss: 0.0075 | Val: 0.0060
  Step 4900/20000 - Train Loss: 0.0055 | Val: 0.0060
  Step 4950/20000 - Train Loss: 0.0052 | Val: 0.0060
  Step 4975/20000 - Train Loss: 0.0063 | Val: 0.0060
  Step 5025/20000 - Train Loss: 0.0081 | Val: 0.0051
  Step 5075/20000 - Train Loss: 0.0052 | Val: 0.0051
  Step 5100/20000 - Train Loss: 0.0051 | Val: 0.0051
  Step 5150/20000 - Train Loss: 0.0056 | Val: 0.0051
  Step 5175/20000 - Train Loss: 0.0073 | Val: 0.0051
  Step 5225/20000 - Train Loss: 0.0127 | Val: 0.0051
  Step 5250/20000 - Train Loss: 0.0045 | Val: 0.0051
  Step 5300/20000 - Train Loss: 0.0061 | Val: 0.0051
  Step 5350/20000 - Train Loss: 0.0054 | Val: 0.0051
  Step 5375/20000 - Train Loss: 0.0051 | Val: 0.0051
  Step 5425/20000 - Train Loss: 0.0050 | Val: 0.0051
  Step 5450/20000 - Train Loss: 0.0159 | Val: 0.0051
  Step 5500/20000 - Train Loss: 0.0064 | Val: 0.0051
  Step 5525/20000 - Train Loss: 0.0077 | Val: 0.0047
  Step 5575/20000 - Train Loss: 0.0050 | Val: 0.0047
  Step 5625/20000 - Train Loss: 0.0080 | Val: 0.0047
  Step 5650/20000 - Train Loss: 0.0415 | Val: 0.0047
  Step 5700/20000 - Train Loss: 0.0064 | Val: 0.0047
  Step 5725/20000 - Train Loss: 0.0056 | Val: 0.0047
  Step 5775/20000 - Train Loss: 0.0075 | Val: 0.0047
  Step 5800/20000 - Train Loss: 0.0055 | Val: 0.0047
  Step 5850/20000 - Train Loss: 0.0173 | Val: 0.0047
  Step 5900/20000 - Train Loss: 0.0076 | Val: 0.0047
  Step 5925/20000 - Train Loss: 0.0044 | Val: 0.0047
  Step 5975/20000 - Train Loss: 0.0848 | Val: 0.0047
  Step 6000/20000 - Train Loss: 0.0062 | Val: 0.0047
  Step 6050/20000 - Train Loss: 0.0080 | Val: 0.0060
  Step 6075/20000 - Train Loss: 0.0049 | Val: 0.0060
  Step 6125/20000 - Train Loss: 0.0106 | Val: 0.0060
  Step 6175/20000 - Train Loss: 0.0073 | Val: 0.0060
  Step 6200/20000 - Train Loss: 0.0046 | Val: 0.0060
  Step 6250/20000 - Train Loss: 0.0075 | Val: 0.0060
  Step 6275/20000 - Train Loss: 0.0091 | Val: 0.0060
  Step 6325/20000 - Train Loss: 0.0038 | Val: 0.0060
  Step 6350/20000 - Train Loss: 0.0087 | Val: 0.0060
  Step 6400/20000 - Train Loss: 0.0065 | Val: 0.0060
  Step 6450/20000 - Train Loss: 0.0044 | Val: 0.0060
  Step 6475/20000 - Train Loss: 0.0101 | Val: 0.0060
  Step 6525/20000 - Train Loss: 0.0103 | Val: 0.0042
  Step 6550/20000 - Train Loss: 0.0048 | Val: 0.0042
  Step 6600/20000 - Train Loss: 0.0048 | Val: 0.0042
  Step 6625/20000 - Train Loss: 0.0082 | Val: 0.0042
  Step 6675/20000 - Train Loss: 0.0056 | Val: 0.0042
  Step 6725/20000 - Train Loss: 0.0043 | Val: 0.0042
  Step 6750/20000 - Train Loss: 0.0065 | Val: 0.0042
  Step 6800/20000 - Train Loss: 0.0084 | Val: 0.0042
  Step 6825/20000 - Train Loss: 0.0169 | Val: 0.0042
  Step 6875/20000 - Train Loss: 0.0076 | Val: 0.0042
  Step 6900/20000 - Train Loss: 0.0058 | Val: 0.0042
  Step 6950/20000 - Train Loss: 0.0047 | Val: 0.0042
  Step 7000/20000 - Train Loss: 0.0040 | Val: 0.0042
  Step 7025/20000 - Train Loss: 0.0055 | Val: 0.0046
  Step 7075/20000 - Train Loss: 0.0048 | Val: 0.0046
  Step 7100/20000 - Train Loss: 0.0133 | Val: 0.0046
